Dev#	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other hourlywage
1	2	2	2	1	1	0	1.5	2	0	0	4.75	2.25	90
2	1.5	3.5	1.5	2.75	2.5	0	0.75	0	0	2.75	0.25	3	100
3	1.5	2.5	2	2.25	2.25	1.5	0	0	0.75	0	0	2.25	97.5
4	1.5	2.5	2.25	2	2.5	2.25	0	0	2.25	0	0	2.25	93.75
5	2.5	0.75	2	0	0	0	0	2	0	0	0	1.5	112
6	2	2	2.25	2	1.5	0	2.75	2	0	0.75	0	2.25	100.25
7	1.5	1.5	2	1.5	1.5	2.25	0	0	3	0	0	1	87.5
8	1.5	4	1.5	2.5	2.25	0	0	2	0	0	0	1.5	75
9	1.5	3	2.25	3	2.25	0.75	0	0	0	0	0	1	93.75
10	2.25	0.5	2.25	0	0	0	1.5	2	0	0.75	0	2.5	112.5   
