"BugId","GT","jdt","jface","core","swt","ui","debug","ltk","text","jdi","search","compare","other"
"104167","19","0.0","0.0","0.0","0.0","0.0","17","0.0","0.0","0.0","0.0","9","0.0"
"102650","17","0.0","20","0.0","0.0","0.0","18","0.0","0.0","0.0","14","4","0.0"
"108783","19","0.0","0.0","0.0","0.0","0.0","6","0.0","0.0","0.0","0.0","20","0.0"
"102492","20","0.0","10","0.0","0.0","10","5","7","0.0","0.0","0.0","9","2"
"103326","4","0.0","0.0","20","0.0","1","2","0.0","0.0","0.0","0.0","7","0.0"
"104738","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2","0.0","1","0.0"
"103994","19","0.0","0.0","0.0","0.0","0.0","13","0.0","0.0","0.0","0.0","17","0.0"
"104551","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0"
"102427","7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20","0.0"
"108740","14","0.0","0.0","0.0","0.0","0.0","14","0.0","0.0","0.0","0.0","8","0.0"
"102305","18","0.0","0.0","0.0","0.0","0.0","16","0.0","0.0","0.0","0.0","16","0.0"
"107079","19","0.0","0.0","0.0","0.0","0.0","5","0.0","0.0","0.0","0.0","14","0.0"
"107706","16","20","0.0","0.0","0.0","0.0","13","0.0","0.0","1","0.0","5","0.0"
"102778","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","0.0"
"101863","20","1","0.0","0.0","0.0","0.0","4","0.0","0.0","3","15","6","0.0"
"100153","19","0.0","0.0","0.0","0.0","0.0","18","0.0","0.0","0.0","0.0","12","0.0"
"107681","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7","0.0"
"106106","19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","0.0"
"108105","6","13","5","0.0","0.0","0.0","15","14","0.0","0.0","0.0","9","9"
"109646","18","0.0","0.0","0.0","0.0","0.0","7","0.0","0.0","0.0","0.0","8","0.0"
"108115","16","3","11","0.0","0.0","0.0","12","0.0","0.0","0.0","0.0","14","0.0"
"108203","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18","0.0"
"101938","6","7","0.0","0.0","0.0","0.0","11","0.0","0.0","0.0","0.0","4","0.0"
"103148","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","0.0"
"103023","19","0.0","0.0","0.0","0.0","0.0","13","0.0","0.0","0.0","0.0","9","0.0"
"100808","5","0.0","0.0","0.0","0.0","0.0","5","0.0","0.0","0.0","0.0","16","0.0"
"102534","6","20","6","0.0","0.0","0.0","15","0.0","0.0","0.0","5","6","0.0"
