"SID","Time","Cost"
"1","697.2480666666668","644179.234703889"
"2","1584.2714244444446","516815.96406832634"
"3","827.69173989899","578771.6848934595"
"4","1435.6477220634922","523489.1241382068"
"5","1282.0934355555557","530735.5115475865"
"6","809.2136055555555","601856.1284099387"
"7","879.1653333333335","554352.9830866234"
"8","891.6229555555557","541409.7285647583"
"9","1075.4935177777782","539124.2264592639"
"10","770.2884777777779","629046.4176239249"
"11","791.1240517171717","621140.7227528573"
"12","1111.3235000000002","531068.2845532575"
"13","1087.30955","532547.9247761325"
