"SID","Time","Cost"
"1","705.8012777777778","359842.2138818545"
"2","438.5755555555555","412770.5289223485"
"3","583.6334944444444","362380.10626260086"
"4","454.0446842857143","391189.8042863096"
"5","579.9578611111111","376501.77183555556"
"6","506.5135200865801","388950.7219624999"
"7","572.261161111111","379062.4289943184"
"8","542.0694785714286","388267.09534710675"
"9","543.79527","382777.615868813"
"10","528.0208055555555","388305.82812121225"
"11","550.0750484848484","379864.36794679315"
"12","547.9669422222222","381439.89163111115"
