1, Steady, Diffusion, 387858.0024123287,0.4401463414634147
2, Steady, Diffusion, 2687904.909063195,1.7792713687376496
3, Dynamic, Cost, 3313128.398104166,1.117091808499825
4, Steady, Diffusion, 4616821.566111112,1.0414638085450008
5, Steady, Diffusion, 3612760.2693541674,1.0108048744677727
6, Dynamic, Cost, 2948453.3346287087,0.6713000000000001
7, Steady, Diffusion, 2372163.2678385414,0.2091
8, Dynamic, Cost, 4156569.383583885,0.6360000000000001
9, Steady, Diffusion, 2603622.3506944445,0.5440000000000003
10, Steady, Diffusion, 1914428.398503472,1.0887419354838705
11, Steady, Diffusion, 92736.40948611112,0.3285806451612903
12, Steady, Diffusion, 2409078.7599055558,1.4292021661212406
13, Steady, Diffusion, 2236299.702371162,1.3917112981143838
14, Steady, Diffusion, 2049634.9334243054,1.2706991117344553
15, Dynamic, Cost, 1680044.7719027775,0.6439232819074333
16, Steady, Diffusion, 1667186.7103702081,1.0865022596228766
17, Steady, Diffusion, 3045531.862951111,1.3162861150070126
18, Steady, Diffusion, 2506620.279781477,1.2088203210222845
19, Steady, Diffusion, 2378493.6337424247,1.634724863233352
20, Steady, Diffusion, 2050769.6215197134,1.5147635351820412
21, Dynamic, Cost, 1486224.958875,1.1745523486134692
22, Steady, Diffusion, 616513.081975,0.7142807017543858
23, Steady, Diffusion, 990835.3317875001,1.3226728919071873
24, Steady, Diffusion, 2625443.279395834,1.194137804187889
25, Steady, Diffusion, 1655693.2739208343,1.2958157894736841
26, Dynamic, Cost, 1193248.4841666669,1.251094699113375
27, Steady, Diffusion, 836105.6086375001,1.907219298245614
28, Dynamic, Cost, 2128403.4192791674,0.8478754008677608
29, Steady, Diffusion, 1266998.7704958334,1.3329788719109603
30, Steady, Diffusion, 1735282.0652083338,1.5910104697226939
31, Dynamic, Cost, 891983.4910291665,1.349613469156763
32, Steady, Diffusion, 1579796.8112374987,0.9708541784568949
33, Steady, Diffusion, 1052177.7471999999,1.297666666666667
34, Steady, Diffusion, 18502.4,0.041666666666666664
35, Dynamic, Cost, 3133124.1830399996,1.5359000000000003
36, Steady, Diffusion, 2514266.2574400003,1.1034
37, Steady, Diffusion, 1458278.0081600002,1.5102000000000004
38, Steady, Diffusion, 1813096.2406400002,1.334566666666667
39, Steady, Diffusion, 1432721.4144,1.3936333333333335
40, Dynamic, Cost, 1316925.6745599997,1.457566666666667
41, Steady, Diffusion, 1919608.9796800003,1.2508666666666668
42, Dynamic, Cost, 1287156.62448,1.5122000000000002
43, Steady, Diffusion, 1528806.5913600004,1.2161000000000002
44, Steady, Diffusion, 995793.2508800001,1.2360666666666666
45, Steady, Diffusion, 1604212.7542400004,1.370866666666667
46, Steady, Diffusion, 907878.88992,0.8253666666666666
47, Dynamic, Cost, 1775178.6864000005,1.4258333333333335
48, Steady, Diffusion, 1650465.9327999998,1.0841666666666667
49, Dynamic, Cost, 715158.0847999998,1.4030000000000002
50, Steady, Diffusion, 1972158.4959999998,1.2083333333333335
51, Dynamic, Cost, 1703942.1952000007,0.9838333333333332
52, Steady, Diffusion, 1553070.9599999993,1.3996666666666668
53, Dynamic, Cost, 1498561.7232000001,1.3011666666666668
54, Steady, Diffusion, 1235643.0895999998,1.0803333333333331
