"BugId","GT","Prof 1","Prof 2","Prof 3","Prof 4","Prof 5","Prof 6","Prof 7","Prof 8","Prof 9","Prof 10","Prof 11","Prof 12"
"51085","57","10","6","13","17","0.0","3","0.0","0.0","39","0.0","71","0.0"
"50438","71","51","2","33","33","0.0","55","0.0","0.0","13","0.0","2","0.0"
"48849","65","28","40","49","43","0.0","31","0.0","0.0","55","0.0","7","0.0"
"39772","56","57","16","31","3","0.0","59","0.0","16","23","0.0","21","0.0"
"42185","3","21","33","57","21","0.0","53","0.0","0.0","69","17","67","0.0"
"42138","15","59","9","24","17","0.0","25","0.0","0.0","68","1","30","0.0"
"41090","28","67","3","49","35","0.0","1","0.0","0.0","32","71","59","0.0"
"63832","57","49","57","61","15","0.0","37","0.0","0.0","54","0.0","24","0.0"
"45729","73","28","12","45","49","0.0","71","0.0","0.0","78","0.0","69","0.0"
"40916","57","28","32","37","31","0.0","57","0.0","0.0","13","75","21","0.0"
"64362","75","4","9","24","61","0.0","51","0.0","0.0","33","0.0","57","0.0"
"40725","33","16","18","56","74","0.0","52","0.0","51","14","0.0","54","0.0"
"50572","59","11","14","56","32","0.0","46","0.0","0.0","17","0.0","31","0.0"
"42120","22","30","49","13","61","0.0","32","0.0","0.0","24","61","3","0.0"
"49811","59","59","61","46","54","0.0","54","0.0","0.0","48","0.0","65","0.0"
"71747","59","9","36","20","76","0.0","31","0.0","0.0","35","0.0","3","0.0"
"50534","59","69","11","67","39","0.0","41","0.0","0.0","37","0.0","23","0.0"
"40060","33","76","73","2","59","0.0","65","0.0","26","67","0.0","23","0.0"
"39024","15","59","17","19","48","0.0","28","0.0","26","49","0.0","76","0.0"
"50631","56","65","66","14","76","0.0","76","0.0","0.0","32","0.0","10","0.0"
