"BugId","GT","Prof 1","Prof 2","Prof 3","Prof 4","Prof 5","Prof 6","Prof 7","Prof 8","Prof 9","Prof 10","Prof 11","Prof 12"
"51085","57","30","59","23","59","0.0","33","0.0","0.0","32","0.0","67","0.0"
"63832","57","28","65","32","49","0.0","14","0.0","0.0","2","0.0","40","0.0"
"48849","65","32","31","7","32","0.0","28","0.0","0.0","24","0.0","19","0.0"
"42138","15","48","14","69","26","0.0","32","0.0","0.0","18","31","69","0.0"
"40060","33","19","19","31","67","0.0","13","0.0","14","28","0.0","30","0.0"
"45729","73","39","49","26","48","0.0","75","0.0","0.0","51","0.0","32","0.0"
"50631","56","57","61","13","48","0.0","65","0.0","0.0","49","0.0","49","0.0"
"50534","59","48","26","59","57","0.0","48","0.0","0.0","32","0.0","23","0.0"
"64362","75","11","28","39","32","0.0","49","0.0","0.0","56","0.0","32","0.0"
"42120","22","26","45","19","45","0.0","48","0.0","0.0","38","28","18","0.0"
"39772","56","59","32","57","28","0.0","37","0.0","24","19","0.0","3","0.0"
"40916","57","4","32","39","24","0.0","14","0.0","0.0","18","1","28","0.0"
"40725","33","23","61","14","15","0.0","54","0.0","18","39","0.0","32","0.0"
"39024","15","9","39","49","30","0.0","57","0.0","40","39","0.0","67","0.0"
"71747","59","10","48","31","65","0.0","28","0.0","0.0","10","0.0","61","0.0"
"41090","28","18","9","14","32","0.0","31","0.0","0.0","26","32","56","0.0"
"49811","59","57","48","39","23","0.0","45","0.0","0.0","19","0.0","49","0.0"
"50572","59","15","45","2","19","0.0","57","0.0","0.0","24","0.0","19","0.0"
"50438","71","19","23","57","49","0.0","13","0.0","0.0","67","0.0","28","0.0"
"42185","3","65","51","75","30","0.0","17","0.0","0.0","16","57","32","0.0"
