"SID","Time","Cost"
"1","79498.07144444445","6.2516850209292985E7"
"2","48833.303222222225","7.25933607726823E7"
"3","65716.20580888889","6.319227200990572E7"
"4","57194.78968","6.380461318554535E7"
"5","51353.749893333326","6.949124576050149E7"
"6","50634.25424285715","7.25393066423857E7"
"7","57068.28157333333","6.705192412452075E7"
"8","53306.104583333334","6.934970906022967E7"
"9","53616.896684444444","6.826856855622113E7"
"10","54155.16496000001","6.77804855306964E7"
"11","55758.734933333326","6.723266023557577E7"
