1, Steady, Diffusion, 2.9099865090948243E9,1.0507734187600422
2, Steady, Diffusion, 2.11756275655042E9,1.0082743357995947
3, Dynamic, Cost, 2.66958708089133E7,0.7881133830415523
4, Steady, Diffusion, 1.0844628895238096E8,0.950155352328981
5, Dynamic, Cost, 988290.0,0.24494031052493526
6, Dynamic, Cost, 8.694856706746031E7,0.6919994412546335
7, Dynamic, Cost, 1.9479577129870124E7,0.5696904007990276
8, Dynamic, Cost, 2.9046929825757574E7,0.5949091595046054
9, Dynamic, Cost, 2.0324297691976912E9,0.6672800036546109
10, Steady, Diffusion, 6594599.694444444,0.48577169312548124
11, Steady, Diffusion, 2.502828832721385E7,0.7996818698439832
12, Steady, Diffusion, 7.787993916156572E7,0.806370651574332
13, Steady, Diffusion, 5.164107786919972E8,0.8090277808513099
14, Steady, Diffusion, 1.6797103588404229E9,0.8361273159984669
15, Steady, Diffusion, 6.431482324496713E7,0.8185857687794512
16, Steady, Diffusion, 6.645823497813663E9,0.7868439363523921
17, Dynamic, Cost, 9689187.18393889,0.6060928240487493
18, Steady, Diffusion, 4.2819035580123946E7,0.8475461290471263
19, Steady, Diffusion, 766731.1916666667,0.08977556109725686
20, Steady, Diffusion, 6.985440919903819E9,0.566881878587912
21, Steady, Diffusion, 2.1447627323381567E8,0.5670356897280343
22, Steady, Diffusion, 4.405188598856751E9,0.20655309329079996
23, Steady, Diffusion, 1.0094451590817494E9,0.21523534801642524
24, Steady, Diffusion, 8.081946517267493E8,0.21389486544269867
25, Steady, Diffusion, 8.029729932677493E8,0.21921132113890124
26, Steady, Diffusion, 4.2624352480737457E9,0.2430639302560282
27, Dynamic, Cost, 3.77781591173332E8,0.1644179278454682
28, Steady, Diffusion, 4.9970076084407485E8,0.24114268198803263
29, Steady, Diffusion, 1.5944948658449814E9,0.2381587622937657
30, Steady, Diffusion, 1.0660738853090553E10,0.23857005002770568
31, Steady, Diffusion, 1.2860060447438786E10,0.2280907484084203
32, Steady, Diffusion, 1.0884517522079325E9,0.24867872935722546
33, Steady, Diffusion, 8.236257773792276E9,0.22809074840842028
34, Dynamic, Cost, 1.6316872234325845E9,0.16092125634227755
35, Steady, Diffusion, 5.188415988094191E9,0.2469543074907299
36, Steady, Diffusion, 368819.1750000001,0.013781697905181918
37, Steady, Diffusion, 9.171316508330135E9,0.2359798360649498
38, Steady, Diffusion, 2.857048767682474E9,0.243583897319488
39, Dynamic, Cost, 2.4125904844251385E9,0.2170580295360368
40, Steady, Diffusion, 1.4005344114449744E9,0.24047371629327235
41, Steady, Diffusion, 2.0211979470069427E9,0.2495445214534858
42, Steady, Diffusion, 6.54037799554905E9,0.15150237488694243
43, Steady, Diffusion, 7.759367641178198E9,0.18769287372836008
44, Steady, Diffusion, 3.876601373165598E9,0.06094934421278303
45, Steady, Diffusion, 9.412372848830397E9,0.059117398042293205
46, Dynamic, Cost, 9.146505448299202E9,0.05728545187180339
47, Dynamic, Cost, 4.6507113380704E9,0.024062860509677132
